# You can find the dataset in the paper titled "NSGAN: A Non-dominated Sorting Optimization-based Generative Adversarial Design Framework for Alloy Discovery." And for your convenience in reviewing, we have pasted the entire contents of the dataset below.
 \,Processing,Ag,Al,B,Be,Bi,Cd,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Ni,Pb,Sc,Si,Sn,Ti,V,Zn,Zr,Elongation (%),Tensile Strength (MPa),Yield Strength (MPa),class
0,Solutionised  + Artificially peak aged,0,0.88011,0,0,0,0,0,0,0.0198,0,0,0.00055,0,0,0.0212,0,0,0,0,0.00034,0,0,0,0.0768,0.0012,16.8,651.6,583.3,2
1,Solutionised + Artificially over aged,0,0.88011,0,0,0,0,0,0,0.0198,0,0,0.00055,0,0,0.0212,0,0,0,0,0.00034,0,0,0,0.0768,0.0012,15.4,557,513,4
2,Solutionised  + Artificially peak aged,0,0.9945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0055,0,0,0,0,0,0,10.5,320,300,2
3,Solutionised  + Artificially peak aged,0,0.9925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0075,0,0,0,0,0,0,4.5,280,265,2
4,Solutionised  + Artificially peak aged,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,7,325,290,2
5,Solutionised  + Artificially peak aged,0,0.9875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,7.5,270,220,2
6,Solutionised  + Artificially peak aged,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,25,190,90,2
7,Solutionised  + Artificially peak aged,0,0.955,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.005,0,0,0,0,0,0,13,430,350,2
8,Solutionised  + Artificially peak aged,0,0.9545,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.0055,0,0,0,0,0,0,,460,415,2
9,Solutionised  + Artificially peak aged,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0.01,0,0,0,0,0,0,8,530,410,2
10,No Processing,0.0007,0.9208,0,0,0,0,0,0,0.0637,0,0,0.0057,0,0,0.0001,0.0018,0,0,0,0,0,0.0006,0,0.0066,0,1.8,135,80,1
11,No Processing,0,0.916,0,0,0,0,0,0,0.0685,0,0,0.006,0,0,0.0001,0.002,0,0,0,0,0,0.0006,0,0.0068,0,1.8,135,85,1
12,No Processing,0.0003,0.9153,0,0,0,0,0,0,0.0678,0,0,0.0062,0,0,0.0001,0.0019,0,0,0,0,0,0.0008,0,0.0076,0,2,165,100,1
13,No Processing,0.001,0.9151,0,0,0,0,0,0,0.0684,0,0,0.0061,0,0,0.0001,0.0018,0,0,0,0,0,0.0002,0,0.0073,0,1.8,150,90,1
14,No Processing,0,0.9233,0,0,0,0,0,0,0,0,0,0.0012,0,0,0.0045,0,0,0,0,0.071,0,0,0,0,0,4.2,183,,1
15,No Processing,0,0.9223,0,0,0,0,0,0,0,0.001,0,0.0012,0,0,0.0045,0,0,0,0,0.071,0,0,0,0,0,3.5,189,,1
16,No Processing,0,0.9213,0,0,0,0,0,0,0,0.002,0,0.0012,0,0,0.0045,0,0,0,0,0.071,0,0,0,0,0,3.2,191,,1
17,No Processing,0,0.9203,0,0,0,0,0,0,0,0.003,0,0.0012,0,0,0.0045,0,0,0,0,0.071,0,0,0,0,0,2.4,195.3,,1
18,No Processing,0,0.9193,0,0,0,0,0,0,0,0.004,0,0.0012,0,0,0.0045,0,0,0,0,0.071,0,0,0,0,0,2,180,,1
19,No Processing,0,0.9003,0,0,0,0,0,0,0,0,0,0.0017,0,0,0.029,0,0,0,0,0.069,0,0,0,0,0,7.4,176,,1
20,No Processing,0,0.89861,0,0,0,0,0,0,0,0,0.00079,0.0016,0,0,0.03,0,0,0,0,0.069,0,0,0,0,0,9.2,190,,1
21,No Processing,0,0.89792,0,0,0,0,0,0,0,0,0.00028,0.0018,0,0,0.028,0,0,0,0,0.072,0,0,0,0,0,7.7,187,,1
22,No Processing,0,0.89745,0,0,0,0,0,0,0,0,0.00095,0.0016,0,0,0.029,0,0,0,0,0.071,0,0,0,0,0,8.2,204,,1
