/,Al,Co,Cr,Fe,Ni,Zr,Ti,Hf,Ta,Mo,Cu,B,V,Si,Nb,Mn,Ga,W,Be,Ag,Li,Mg,Sc,Zn,Y,Nd,Sm,Eu,Dy,Ho,Er,Gd,C
Al,0,-19,-10,-11,-22,-44,-30,-39,-19,-5,-1,0,-16,-19,-18,-19,1,-2,0,-4,-4,-2,-38,1,-38,-38,-38,-19,-38,-38,-38,-39,
Co,-19,0,-4,-1,0,-41,-28,-35,-24,-5,6,-24,-14,-38,-25,-5,-11,-1,-4,19,8,3,-30,-5,-22,-20,-22,7,-23,-22,-24,-22,
Cr,-10,-4,0,-1,-7,-12,-7,-9,-7,0,12,-31,-2,-37,-7,2,-1,1,-7,27,35,24,1,5,11,13,11,43,9,10,8,11,
Fe,-11,-1,-1,0,-2,-25,-17,-21,-15,-2,13,-26,-7,-35,-16,0,-2,0,-4,28,26,18,-11,4,-1,1,-1,30,-3,-2,-5,-1,
Ni,-22,0,-7,-2,0,-49,-35,-42,-29,-7,4,-24,-18,-40,-30,-8,-15,-3,-4,15,1,-4,-39,-9,-31,-30,-31,-3,-32,-31,-34,-31,
Zr,-44,-41,-12,-25,-49,0,0,0,3,-6,-23,-71,-4,-84,4,-15,-40,-9,-43,-20,27,6,4,-29,9,10,9,42,8,9,7,9,
Ti,-30,-28,-7,-17,-35,0,0,0,1,-4,-9,-58,-6,-66,2,-8,-23,-6,-30,-2,34,16,8,-15,15,17,15,48,14,14,13,15,
Hf,-39,-35,-9,-21,-42,0,0,0,3,-4,-17,-66,-2,-77,4,-12,-34,-6,-37,-13,30,10,5,-24,11,13,11,44,10,10,9,11,
Ta,-19,-24,-7,-15,-29,3,1,3,0,-35,2,-54,-1,-56,0,-4,-10,-7,-24,15,48,30,16,-3,27,29,27,66,25,26,23,27,
Mo,-5,-5,0,-2,-7,-6,-4,-4,-35,0,19,-34,0,-35,-6,5,7,0,-7,37,49,36,11,12,24,26,24,63,22,22,20,24,
Cu,-1,6,12,13,4,-23,-9,-17,2,19,0,0,5,-19,3,4,1,22,0,2,-5,-3,-24,1,-22,-22,-22,-10,-22,-22,-23,-22,
B,0,-24,-31,-26,-24,-71,-58,-66,-54,-34,0,0,-42,-14,-54,-32,6,-31,0,5,-6,-4,-55,4,-50,-49,-50,-19,-51,-50,-52,-50,
V,-16,-14,-2,-7,-18,-4,-6,-2,-1,0,5,-42,0,-48,-1,-1,-8,-1,-42,17,37,23,7,-2,17,18,17,49,15,16,14,17,
Si,-19,-38,-37,-35,-40,-84,-66,-77,-56,-35,-19,-14,-48,0,-56,-45,-17,-31,-15,-20,-30,-26,-74,-18,-73,-73,-74,-49,-74,-73,-74,-73,
Nb,-18,-20,-7,-16,-30,4,2,4,0,-6,3,-54,-1,-56,0,-4,-8,-8,-25,16,51,32,18,-1,30,32,30,69,27,28,26,30,
Mn,-19,-5,2,0,-8,-15,-8,-12,-4,5,4,-32,-1,-45,-4,0,-13,6,-10,13,19,10,-8,-6,-1,0,-1,23,-3,-2,-4,-1,
Ga,1,-11,-1,-2,-15,-40,-23,-34,-10,7,1,6,-8,-17,-8,-13,0,11,5,-5,-9,-4,-38,0,-40,-40,-40,-27,-40,-39,-40,-40,
W,-2,-1,1,0,-3,-9,-6,-6,-7,0,22,-31,-1,-31,-8,6,11,0,-3,43,50,38,9,15,24,26,24,64,21,22,19,24,
Be,0,-4,-7,-4,-4,-43,-30,-37,-24,-7,0,0,-42,-15,-25,-10,5,-3,0,6,-5,-3,-36,4,-32,-31,-32,-12,-32,-32,-33,-32,
Ag,-4,19,27,28,15,-20,-2,-13,15,37,2,5,17,-20,16,13,-5,43,6,0,-16,-10,-28,-4,-29,-29,-30,-27,-29,-29,-29,-29,
