Vec_mean,Vec_std,Vec_std/mean*100,X_mean,X_std,X_std/mean*100,Z_mean,Z_std,Z_std/mean*100,atomic_mass_mean,atomic_mass_std,atomic_mass_std/mean*100,atomic_radius_mean,atomic_radius_std,atomic_radius_std/mean*100,average_cationic_radius_mean,average_cationic_radius_std,average_cationic_radius_std/mean*100,electron_affinity_mean,electron_affinity_std,electron_affinity_std/mean*100,group_mean,group_std,group_std/mean*100,ionization_energy_mean,ionization_energy_std,ionization_energy_std/mean*100,max_oxidation_state_mean,max_oxidation_state_std,max_oxidation_state_std/mean*100,min_oxidation_state_mean,min_oxidation_state_std,min_oxidation_state_std/mean*100,row_mean,row_std,row_std/mean*100,mendeleev_no_mean,mendeleev_no_std,mendeleev_no_std/mean*100,electrical_resistivity_mean,electrical_resistivity_std,electrical_resistivity_std/mean*100,molar_volume_mean,molar_volume_std,molar_volume_std/mean*100,thermal_conductivity_mean,thermal_conductivity_std,thermal_conductivity_std/mean*100,boiling_point_mean,boiling_point_std,boiling_point_std/mean*100,melting_point_mean,melting_point_std,melting_point_std/mean*100,liquid_range_mean,liquid_range_std,liquid_range_std/mean*100,density_of_solid_mean,density_of_solid_std,density_of_solid_std/mean*100,atomic_radius_calculated_mean,atomic_radius_calculated_std,atomic_radius_calculated_std/mean*100,汽化热_mean,汽化热_std,汽化热_std/mean*100,熔化热_mean,熔化热_std,熔化热_std/mean*100,标准摩尔生成焓_mean,标准摩尔生成焓_std,标准摩尔生成焓_std/mean*100,entropy,enthalpy,oumiga,Ag,Al,Cr,Cu,Fe,Li,Mg,Mn,Ni,Sc,Si,Ti,Zn,Zr,Tensile Strength (MPa),density,Processing_number
3.83269,2.613640634,68.19337421,1.6123376,0.061966843,3.84329206,14.64109,5.0557011,34.53090651,30.69334256,11.47456149,37.38452882,1.2653515,0.0467264,3.692760462,0.697810725,0.062559178,8.965063998,0.349967599,0.326805694,93.38170009,12.63719,1.643429008,13.00470285,6.319770891,0.950377717,15.03816726,2.92499,0.344475688,11.77698688,0.99665,0.115925741,11.63153979,3.09955,0.303380615,9.787892272,79.34005,2.111756614,2.661652739,3.70219E-07,1.84354E-05,4979.595275,9.9669899,0.763652246,7.661814182,227.47645,41.07291377,18.05589711,2648.56764,479.5652183,18.10658754,925.3287817,101.4020116,10.95848455,1723.238858,411.7605829,23.89457392,3.1510467,1.45890704,46.29912466,1.2107432,0.086474283,7.1422481,268.678751,50.6419644,18.84851862,10.5207585,1.286460244,12.22782791,312.155684,59.62624876,19.10144579,4.022140087,-0.217081508,17144.72142,0,0.88011,0,0.0198,0.00055,0,0.0212,0,0,0,0.00034,0,0.0768,0.0012,651.6,3.081358065,0
3.83269,2.613640634,68.19337421,1.6123376,0.061966843,3.84329206,14.64109,5.0557011,34.53090651,30.69334256,11.47456149,37.38452882,1.2653515,0.0467264,3.692760462,0.697810725,0.062559178,8.965063998,0.349967599,0.326805694,93.38170009,12.63719,1.643429008,13.00470285,6.319770891,0.950377717,15.03816726,2.92499,0.344475688,11.77698688,0.99665,0.115925741,11.63153979,3.09955,0.303380615,9.787892272,79.34005,2.111756614,2.661652739,3.70219E-07,1.84354E-05,4979.595275,9.9669899,0.763652246,7.661814182,227.47645,41.07291377,18.05589711,2648.56764,479.5652183,18.10658754,925.3287817,101.4020116,10.95848455,1723.238858,411.7605829,23.89457392,3.1510467,1.45890704,46.29912466,1.2107432,0.086474283,7.1422481,268.678751,50.6419644,18.84851862,10.5207585,1.286460244,12.22782791,312.155684,59.62624876,19.10144579,4.022140087,-0.217081508,17144.72142,0,0.88011,0,0.0198,0.00055,0,0.0212,0,0,0,0.00034,0,0.0768,0.0012,557,3.081358065,1
3,4.44089E-16,1.4803E-14,1.608625,0.01848944,1.14939402,13.044,0.591662066,4.535894401,27.08039765,1.329344362,4.908880508,1.251925,0.025885215,2.067633075,0.676155,0.015531129,2.296977649,0.431489508,0.018092656,4.193069789,12.945,0.739577582,5.71322968,5.988935466,0.042579035,0.710961652,3,4.44089E-16,1.4803E-14,1,0,0,3.0055,0.073957758,2.460747237,79.6645,4.511423251,5.663028389,2.98765E-08,3.86799E-08,129.4659935,10.0275,0.369788791,3.687746608,233.7955,16.19674905,6.927742001,2793.7105,23.0008628,0.823308743,938.312915,65.12202484,6.94033129,1855.397585,42.12116204,2.270196015,2.7015675,0.021077961,0.780212269,1.18363,0.04881212,4.123934035,284.3673,3.594347049,1.26398044,10.777775,0.373486679,3.465341214,331.15795,3.46861886,1.047421286,0.283518929,-0.831402,319.9769461,0,0.9945,0,0,0,0,0,0,0,0.0055,0,0,0,0,320,2.702355795,0
3,0,0,1.608125,0.021569292,1.341269641,13.06,0.690217357,5.284972106,27.1163464,1.550778063,5.718978656,1.252625,0.030197009,2.410698283,0.676575,0.018118206,2.677930107,0.431000238,0.021106415,4.897077439,12.925,0.862771696,6.675216219,5.990086908,0.049671578,0.829229678,3,0,0,1,0,0,3.0075,0.08627717,2.86873382,79.5425,5.262907348,6.616472135,3.09225E-08,4.5123E-08,145.9227414,10.0375,0.431385848,4.297741949,233.3575,18.89470015,8.096890029,2794.3325,26.83219976,0.96023647,940.073975,75.96963618,8.081240221,1854.258525,49.13743642,2.649977647,2.7021375,0.024588993,0.909983054,1.18495,0.056942932,4.805513478,284.4645,4.193070444,1.474022398,10.787875,0.435699707,4.038790834,331.25175,4.046399256,1.221548039,0.367214385,-1.13145,305.1029088,0,0.9925,0,0,0,0,0,0,0,0.0075,0,0,0,0,280,2.703209202,0
3,4.44089E-16,1.4803E-14,1.6075,0.024874686,1.547414366,13.08,0.79598995,6.085550074,27.16128233,1.788427572,6.584473996,1.2535,0.03482456,2.778185903,0.6771,0.020894736,3.085915844,0.43038865,0.024340875,5.655556941,12.9,0.994987437,7.713080908,5.99152621,0.057283516,0.956075534,3,4.44089E-16,1.4803E-14,1,0,0,3.01,0.099498744,3.305606103,79.39,6.069423366,7.645072889,3.223E-08,5.20378E-08,161.4577814,10.05,0.497493719,4.950186254,232.81,21.79022487,9.359660183,2795.11,30.94410929,1.107080197,942.2753,87.6116288,9.297880227,1852.8347,56.66751951,3.058422832,2.70285,0.028357142,1.049157073,1.1866,0.065669171,5.534229804,284.586,4.835638944,1.699183707,10.8005,0.502468656,4.65227217,331.369,4.66649108,1.408246118,0.465596757,-1.5048,291.5472644,0,0.99,0,0,0,0,0,0,0,0.01,0,0,0,0,325,2.704273539,0
3,4.44089E-16,1.4803E-14,1.606875,0.027775608,1.728548117,13.1,0.888819442,6.784881235,27.20621827,1.996996566,7.340221073,1.254375,0.038885851,3.100017983,0.677625,0.02333151,3.443130101,0.429777063,0.027179543,6.324102747,12.875,1.111024302,8.629314968,5.992965513,0.063964002,1.067318043,3,4.44089E-16,1.4803E-14,1,0,0,3.0125,0.11110243,3.688047476,79.2375,6.777248243,8.553081866,3.35375E-08,5.81066E-08,173.2585047,10.0625,0.555512151,5.520617651,232.2625,24.33143222,10.47583326,2795.8875,34.5528558,1.235845713,944.476625,97.82902288,10.35801419,1851.410875,63.27616708,3.417726877,2.7035625,0.031664193,1.171202538,1.18825,0.073327604,6.171058611,284.7075,5.399578109,1.896535254,10.813125,0.561067273,5.188761552,331.48625,5.210703977,1.571921604,0.558674863,-1.87625,281.2287005,0,0.9875,0,0,0,0,0,0,0,0.0125,0,0,0,0,270,2.705335194,0
2.96,0.195959179,6.620242548,1.598,0.058787754,3.678833156,12.96,0.195959179,1.512030705,26.87447706,0.524492308,1.95163726,1.26,0.048989795,3.888078957,0.6824,0.036252448,5.312492408,0.3987216,0.167120847,41.91416938,12.56,2.155550974,17.16203004,6.05218768,0.325383751,5.376299745,2.96,0.195959179,6.620242548,1,0,0,3,0,0,79.72,1.371714256,1.720665148,2.768E-08,3.33131E-09,12.03506521,10.16,0.783836718,7.714928324,232,14.69693846,6.334887266,2734.84,280.0256674,10.23919744,933.0512,2.051692609,0.219890678,1801.7888,277.9739748,15.42766693,2.66152,0.188512731,7.08289739,1.1908,0.052908978,4.443145654,278.008,29.84458303,10.73515259,10.688,0.303736728,2.84184813,323.548,36.01729718,11.13197954,1.396287644,-0.3072,4240.911009,0,0.96,0,0,0,0,0.04,0,0,0,0,0,0,0,190,2.646997731,0
2.96,0.195959179,6.620242548,1.59675,0.061130496,3.828432482,13,0.6,4.615384615,26.96434892,1.379003033,5.114171446,1.26175,0.054538404,4.322441363,0.68345,0.038962771,5.700895558,0.397498425,0.167760721,42.20412209,12.51,2.258295818,18.051925,6.055066285,0.327324283,5.405791897,2.96,0.195959179,6.620242548,1,0,0,3.005,0.07053368,2.347210646,79.415,4.496973983,5.662625427,3.0295E-08,3.69912E-08,122.1032771,10.185,0.854853789,8.39326253,230.905,21.1668603,9.16691293,2736.395,281.1998026,10.27628696,937.45385,62.17056522,6.631853421,1798.94115,280.2857212,15.58059424,2.662945,0.189870514,7.130095203,1.1941,0.069965634,5.85927765,278.251,30.09004153,10.81399223,10.71325,0.471446643,4.400594062,323.7825,36.21652722,11.18544925,1.656303283,-1.0338,1501.942242,0,0.955,0,0,0,0,0.04,0,0,0.005,0,0,0,0,430,2.649238245,0
2.96,0.195959179,6.620242548,1.596625,0.06135845,3.843009467,13.004,0.626086256,4.814566718,26.97333611,1.436459752,5.32548049,1.261925,0.055059462,4.363132688,0.683555,0.039221958,5.737937374,0.397376108,0.167824083,42.23305838,12.505,2.268253734,18.13877436,6.055354146,0.327516312,5.408706146,2.96,0.195959179,6.620242548,1,0,0,3.0055,0.073957758,2.460747237,79.3845,4.695387071,5.914740373,3.05565E-08,3.87727E-08,126.8884892,10.1875,0.861593727,8.457361735,230.7955,21.70501508,9.404435998,2736.5505,281.3164738,10.27996647,937.894115,65.1854584,6.950193776,1798.656385,280.5142581,15.59576695,2.6630875,0.190005171,7.134770096,1.19443,0.071439311,5.981037868,278.2753,30.11436949,10.82179032,10.715775,0.48496639,4.525723897,323.80595,36.23630651,11.19074758,1.677934647,-1.106042,1422.843826,0,0.9545,0,0,0,0,0.04,0,0,0.0055,0,0,0,0,460,2.649461683,0
3.6108,2.110716314,58.45564181,1.630035,0.073022659,4.479821558,14.2562,4.326310386,30.34686934,29.84804376,9.883890456,33.11403097,1.258515,0.030078976,2.390037118,0.686965917,0.04236883,6.167530121,0.474035814,0.222370004,46.90995851,12.8188,0.70665873,5.512674584,6.134458397,0.524163794,8.544581452,3.0819,0.379989987,12.32973123,0.9745,0.286093953,29.35802495,3.0798,0.273554309,8.882210178,79.2953,2.651357748,3.343650567,2.97711E-08,6.09378E-08,204.6880261,9.789979,0.745239807,7.61227176,243.46024,45.10212247,18.52545716,2808.5434,170.7982609,6.081382288,965.779064,128.3973774,13.29469464,1842.764336,127.7175835,6.930760541,3.1700368,1.616076299,50.97973307,1.202427,0.077721166,6.463691032,284.54039,15.97453003,5.614152012,10.89873,0.698926282,6.412914914,330.42197,18.15581263,5.494735302,2.791867744,-0.6229728,4328.162348,0.0007,0.9208,0,0.0637,0.0057,0,0.0001,0.0018,0,0,0,0.0006,0.0066,0,135,3.050513182,2
3.6477,2.167483497,59.4205526,1.631265,0.075027127,4.59932181,14.3189,4.371773415,30.53148925,29.98886835,9.970117253,33.2460603,1.258845,0.029572216,2.349154683,0.687462667,0.042228821,6.142707541,0.476794809,0.228479863,47.91995604,12.8077,0.725617468,5.66547833,6.143246354,0.537284077,8.745930835,3.0882,0.392709511,12.7164533,0.9728,0.296074585,30.43529864,3.0839,0.277237786,8.989843576,79.2527,2.722102627,3.434712794,3.00426E-08,6.41354E-08,213.4814007,9.774347,0.769868179,7.876415472,244.0008,46.35732606,18.99884183,2810.4403,174.3910807,6.205116,967.936889,132.1117333,13.6487962,1842.503411,129.155466,7.009781651,3.197834,1.656667842,51.8059362,1.203642,0.079194165,6.579544866,284.63008,16.2466006,5.707970361,10.909489,0.717839626,6.57995646,330.46113,18.412805,5.571851977,2.880360411,-0.65010164,4288.571084,0,0.916,0,0.0685,0.006,0,0.0001,0.002,0,0,0,0.0006,0.0068,0,135,3.069780899,2
3.6525,2.175900676,59.57291377,1.631226,0.074927678,4.593335194,14.3347,4.416432487,30.80938204,30.02543533,10.07799217,33.56484948,1.259005,0.030268135,2.404131409,0.687722167,0.043115584,6.269331686,0.475619874,0.230040714,48.36650581,12.8055,0.736525458,5.751633734,6.145638791,0.544530831,8.860443152,3.0871,0.393590638,12.74952666,0.9722,0.297703141,30.6215944,3.0849,0.279807059,9.07021487,79.2448,2.755117595,3.476717204,3.00206E-08,6.27977E-08,209.1823876,9.77559,0.767508705,7.851277568,243.80092,46.52103506,19.08156666,2809.0258,180.5085653,6.426020198,967.856144,133.1519664,13.75741294,1841.169656,135.0207418,7.333422063,3.2002882,1.659133747,51.84326047,1.203935,0.079979784,6.643197809,284.51648,17.0595612,5.995983502,10.907446,0.732495309,6.715552922,330.33248,19.41418757,5.877165809,2.935136536,-0.671252,4232.076672,0.0003,0.9153,0,0.0678,0.0062,0,0.0001,0.0019,0,0,0,0.0008,0.0076,0,165,3.073134357,2
3.6587,2.186461596,59.76061431,1.631638,0.075564654,4.631214408,14.3551,4.499578201,31.34480569,30.07425315,10.28504708,34.19884455,1.25916,0.031370279,2.491365587,0.68791475,0.044166775,6.420384955,0.477365258,0.230601942,48.30723192,12.8097,0.703054699,5.488455617,6.145932047,0.543617923,8.845166512,3.0867,0.390106537,12.63830423,0.9741,0.28953271,29.72309924,3.0858,0.283616572,9.191022495,79.2562,2.667838368,3.366094222,2.96249E-08,6.05139E-08,204.2670739,9.774469,0.769169044,7.869164492,244.23694,46.4816195,19.03136336,2809.0551,177.7788116,6.328776236,967.643159,131.0645904,13.5447235,1841.411941,133.4411775,7.246677106,3.2060626,1.673254339,52.19032027,1.203925,0.079646496,6.615569601,284.47619,16.46584271,5.78812684,10.905283,0.705104318,6.465713164,330.27537,18.79444951,5.690539234,2.931470224,-0.60523856,4686.775258,0.001,0.9151,0,0.0684,0.0061,0,0.0001,0.0018,0,0,0,0.0002,0.0073,0,150,3.078474822,2
3.0725,0.316612934,10.30473341,1.629504,0.077806002,4.774827324,13.0821,0.521113798,3.983410902,27.08251159,1.052754003,3.887209645,1.240655,0.042642948,3.437131801,0.6664605,0.037588189,5.639972486,0.49658645,0.253545243,51.05762415,13.0155,0.803280617,6.171723078,6.149320821,0.568453661,9.244169846,3.0701,0.285282299,9.292280342,0.6414,1.287325149,200.7055113,3.0012,0.034620225,1.153546092,80.3007,1.529143391,1.904271558,7.10252E-05,0.000256818,361.5867229,10.160768,0.598005828,5.885439249,228.4415,22.89330858,10.02151911,2813.0309,138.5412341,4.924980884,987.976551,195.6219047,19.80025786,1825.054349,134.654504,7.378109262,2.6756098,0.213105249,7.964735719,1.176701,0.028954216,2.460626409,290.50363,27.59688406,9.499669267,13.576035,10.23645925,75.40094916,338.63052,33.28618546,9.82964721,2.443216495,-5.10888304,472.4791285,0,0.9233,0,0,0.0012,0,0.0045,0,0,0,0.071,0,0,0,183,2.667189242,2
3.0485,0.371682324,12.19230192,1.621684,0.09142573,5.637703166,13.0621,0.617611196,4.728268781,27.0291602,1.306080205,4.83211537,1.247155,0.058267967,4.672070991,0.67135175,0.047857088,7.128467046,0.473638821,0.287597985,60.72094867,12.7415,1.885120089,14.79511901,6.18662879,0.607905277,9.826115279,3.0451,0.333565571,10.9541746,0.6499,1.271900149,195.7070548,3.0017,0.041195995,1.372422126,80.1097,1.93588892,2.416547459,6.90258E-05,0.000253447,367.177628,10.253193,0.840890882,8.201258687,226.6965,25.17030766,11.10308614,2777.4294,263.1004265,9.472803395,986.651741,194.0687929,19.66943196,1790.777659,252.6410186,14.10789426,2.6553678,0.282491437,10.63850503,1.183646,0.051811067,4.377243466,286.60243,36.69627939,12.80389681,13.459885,10.11511555,75.15008893,333.93152,44.28791831,13.26257501,3.263679221,-5.21836164,617.0739031,0,0.9003,0,0,0.0017,0,0.029,0,0,0,0.069,0,0,0,176,2.637977685,2
3.73398,2.471569008,66.191276,1.6103804,0.065301204,4.055017336,14.44662,4.736018431,32.7828823,30.24323205,10.72454479,35.46097444,1.265907,0.049229233,3.888850657,0.697147467,0.061927297,8.882955142,0.353723383,0.316443157,89.4606271,12.56818,1.857770569,14.78154012,6.297516806,0.906151342,14.38902619,2.93658,0.380995936,12.97413782,0.98244,0.236244887,24.04674957,3.08908,0.284859182,9.221489312,79.30298,2.276915264,2.871159777,6.29979E-07,2.44868E-05,3886.924929,9.9913752,0.822055583,8.227652011,227.21106,39.58143547,17.42055843,2653.82054,462.7975614,17.438917,930.0134794,112.5693961,12.10406071,1723.807061,407.2297601,23.62385962,3.10174376,1.404470613,45.28003347,1.2101774,0.084301166,6.966017184,269.37083,48.74217408,18.0948227,10.572183,1.467380995,13.87964052,313.079012,57.83817773,18.47398756,4.13515,-0.337586608,11391.87737,0,0.88282,0.0018,0.017,0.0022,0,0.0275,0,0.001,0,0.0006,0.00028,0.0668,0,198,3.028775396,2
3,0,0,1.609425,0.011975783,0.744103196,13.0184,0.383225051,2.943718517,27.02287966,0.861028771,3.186295399,1.250805,0.016766096,1.340424446,0.675483,0.010059658,1.489254,0.43227234,0.011718783,2.710972108,12.977,0.479031314,3.691387179,5.987093158,0.027578839,0.460638209,3,0,0,1,0,0,3.0023,0.047903131,1.595547794,79.8597,2.922091017,3.659030796,2.82029E-08,2.50533E-08,88.83248791,10.0115,0.239515657,2.392405305,234.4963,10.49078578,4.473753224,2792.7153,14.89787387,0.533454802,935.495219,42.18014431,4.508857283,1857.220081,27.28227044,1.468984248,2.7006555,0.013652392,0.505521436,1.181518,0.031616067,2.675885322,284.21178,2.328092187,0.819139934,10.761615,0.241910814,2.247904368,331.00787,2.246656864,0.678732159,0.135264616,-0.34879592,362.7892245,0,0.9977,0,0,0,0,0,0,0,0.0023,0,0,0,0,185,2.700986747,0
3,0,0,1.60905,0.015381726,0.955950789,13.0304,0.492215237,3.777437665,27.04984122,1.105907559,4.088406841,1.25133,0.021534417,1.72092227,0.675798,0.01292065,1.911910065,0.431905387,0.015051634,3.484937855,12.962,0.615269047,4.746713832,5.98795674,0.035422331,0.591559569,3,0,0,1,0,0,3.0038,0.061526905,2.048302307,79.7682,3.753141186,4.705059392,2.89874E-08,3.21786E-08,111.0088216,10.019,0.307634523,3.070511263,234.1678,13.47439213,5.754160959,2793.1818,19.13486736,0.685056281,936.816014,54.17628538,5.783022981,1856.365786,35.04141802,1.887635416,2.701083,0.017535168,0.649190263,1.182508,0.040607757,3.434036564,284.28468,2.990207568,1.051835634,10.76919,0.310710869,2.885183274,331.07822,2.88561183,0.871580085,0.207594235,-0.57540512,337.9837911,0,0.9962,0,0,0,0,0,0,0,0.0038,0,0,0,0,220,2.701629041,0
2.947,0.22403348,7.602086177,1.5941,0.067210044,4.216174888,12.947,0.22403348,1.730389122,26.83968205,0.599634256,2.234133231,1.26325,0.05600837,4.433672663,0.684805,0.041446194,6.052262138,0.387634745,0.191063593,49.28959415,12.417,2.464368276,19.84672849,6.073773751,0.3720002,6.12469636,2.947,0.22403348,7.602086177,1,0,0,3,4.44089E-16,1.4803E-14,79.629,1.568234357,1.969426161,2.7901E-08,3.80857E-09,13.65029624,10.212,0.896133919,8.775302767,231.025,16.80251097,7.27302715,2716.263,320.1438424,11.78618721,932.91509,2.345630532,0.251430227,1783.34791,317.7982119,17.82031482,2.649014,0.215520207,8.135865172,1.19431,0.06048904,5.064768737,276.0281,34.12029895,12.36116865,10.66785,0.347251893,3.255125386,321.1586,41.17735356,12.82150114,1.723122778,-0.401528,4003.524641,0,0.947,0,0,0,0,0.053,0,0,0,0,0,0,0,259,2.630129075,0
2.947,0.22403348,7.602086177,1.59335,0.068412554,4.293630004,12.971,0.494124478,3.809455541,26.89360517,1.15809608,4.306213587,1.2643,0.058953456,4.662932549,0.685435,0.042864155,6.253569616,0.38690084,0.191358175,49.45922974,12.387,2.517385747,20.32280413,6.075500914,0.372922958,6.138143392,2.947,0.22403348,7.602086177,1,0,0,3.003,0.054690036,1.821180009,79.446,3.667844599,4.616776929,2.947E-08,2.88063E-08,97.74788982,10.227,0.933526111,9.128054278,230.368,20.50737857,8.902008341,2717.196,320.8156754,11.80686544,935.55668,48.24370339,5.156684189,1781.63932,318.9184327,17.90028033,2.649869,0.216284743,8.162091881,1.19629,0.070036675,5.854489747,276.1739,34.25803831,12.40451698,10.683,0.446487402,4.179419656,321.2993,41.29037066,12.85106151,1.891558628,-0.832628,2125.391303,0,0.944,0,0,0,0,0.053,0,0,0.003,0,0,0,0,401,2.631492985,0
2.96,0.195959179,6.620242548,1.5955,0.063362055,3.971297705,13.04,0.823650411,6.31633751,27.05422079,1.87404713,6.927004642,1.2635,0.059521005,4.710803696,0.6845,0.041469869,6.058417616,0.39627525,0.168389278,42.49300913,12.46,2.355504192,18.90452803,6.05794489,0.329228209,5.434651775,2.96,0.195959179,6.620242548,1,0,0,3.01,0.099498744,3.305606103,79.11,6.194989911,7.830855658,3.291E-08,5.20761E-08,158.2379715,10.21,0.919728221,9.008111858,229.81,26.03217048,11.32769265,2737.95,282.3604921,10.31284326,941.8565,87.67771817,9.309031489,1796.0935,282.5498577,15.73135573,2.66437,0.191208036,7.176482102,1.1974,0.083481974,6.971937039,278.494,30.33156712,10.89128208,10.7385,0.592446411,5.517031346,324.017,36.41315711,11.23803909,1.858473021,-1.7528,998.6392598,0,0.95,0,0,0,0,0.04,0,0,0.01,0,0,0,0,525,2.651467632,0
2.99,0.099498744,3.327717181,1.607,0.029849623,1.857474991,12.99,0.099498744,0.765964155,26.95477321,0.266312228,0.987996545,1.2525,0.024874686,1.986002868,0.67685,0.018407268,2.719549027,0.42430665,0.084856011,19.99874645,12.89,1.094486181,8.490971147,6.00237367,0.16521438,2.752484093,2.99,0.099498744,3.327717181,1,0,0,3,4.44089E-16,1.4803E-14,79.93,0.696491206,0.871376462,2.717E-08,1.69148E-09,6.225537884,10.04,0.397994975,3.964093375,234.25,7.462405778,3.185658817,2777.71,142.1837048,5.118738269,933.3653,1.041751847,0.111612447,1844.3447,141.1419529,7.6526884,2.69038,0.095717791,3.557779624,1.1827,0.026864661,2.271468741,282.577,15.15365867,5.36266528,10.7345,0.154223053,1.436704576,329.062,18.28786909,5.557575501,0.465596757,-0.0792,5487.018389,0,0.99,0,0,0,0,0.01,0,0,0,0,0,0,0,111,2.686591295,0
3.04,0.397994975,13.09193996,1.609025,0.011348981,0.705332809,13.132,1.232305157,9.383986879,27.28806522,2.864667708,10.49787768,1.252025,0.020115899,1.606669081,0.675048333,0.008559134,1.267929063,0.422939698,0.095240736,22.51875067,12.925,0.710193636,5.494728322,6.001115272,0.145727502,2.428340328,3.04,0.397994975,13.09193996,0.96,0.397994975,41.45780988,3.0115,0.106619651,3.540416772,79.7085,3.081643677,3.86614185,4.19145E-08,1.41963E-07,338.6970343,9.981,0.327664463,3.282882101,232.3995,24.11176683,10.37513714,2787.8865,47.17839143,1.692263707,940.646095,67.3792037,7.163076959,1847.240405,106.0596072,5.741516207,2.7481275,0.474694198,17.27336878,1.18529,0.049743501,4.196736755,283.5419,6.561064273,2.313966392,10.784075,0.327593718,3.037754452,330.49435,5.07862807,1.536676216,0.559023027,-0.977118,538.1569344,0,0.9885,0,0,0,0,0,0.01,0,0.0015,0,0,0,0,221,2.735816534,0
